Client__c,Operation__c,RelationshipKey__c,Type__c,Errors
0012200000VBjL0AAL,a0X2200000153XJEAY,CH0014|CH-CH|Borrowing Institution,Borrowing Institution,DUPLICATE_VALUE:duplicate value found: RelationshipKey__c duplicates value on record with id: a0d22000000l5ka:--
0012200000VBjL0AAL,a0X2200000153Z4EAI,CH-L1162|CH-CH|Borrowing Institution,Borrowing Institution,DUPLICATE_VALUE:duplicate value found: RelationshipKey__c duplicates value on record with id: a0d22000000l5kb:--
0012200000VBjL0AAL,a0X2200000153WpEAI,CH0051|CH-CH|Borrowing Institution,Borrowing Institution,DUPLICATE_VALUE:duplicate value found: RelationshipKey__c duplicates value on record with id: a0d22000000l5kc:--
0012200000VBjL0AAL,a0X2200000153WmEAI,CH0022|CH-CH|Borrowing Institution,Borrowing Institution,DUPLICATE_VALUE:duplicate value found: RelationshipKey__c duplicates value on record with id: a0d22000000l5kd:--
0012200000VBjL0AAL,a0X2200000153WdEAI,CH0006|CH-CH|Guarantor,Guarantor,DUPLICATE_VALUE:duplicate value found: RelationshipKey__c duplicates value on record with id: a0d22000000l5ke:--
0012200000VBjL0AAL,a0X2200000153WhEAI,CH0024|CH-CH|Borrowing Institution,Borrowing Institution,DUPLICATE_VALUE:duplicate value found: RelationshipKey__c duplicates value on record with id: a0d22000000l5kf:--
0012200000VBjL0AAL,a0X2200000153WuEAI,CH0054|CH-CH|Borrowing Institution,Borrowing Institution,DUPLICATE_VALUE:duplicate value found: RelationshipKey__c duplicates value on record with id: a0d22000000l5kg:--
0012200000VBjL0AAL,a0X2200000153YfEAI,CH-L1023|CH-CH|Borrowing Institution,Borrowing Institution,DUPLICATE_VALUE:duplicate value found: RelationshipKey__c duplicates value on record with id: a0d22000000l5kh:--
0012200000VBjL0AAL,a0X2200000153XuEAI,CH0164|CH-CH|Borrowing Institution,Borrowing Institution,DUPLICATE_VALUE:duplicate value found: RelationshipKey__c duplicates value on record with id: a0d22000000l5ki:--
0012200000VBjL0AAL,a0X2200000153YHEAY,RG-O1655|CH-CH|Borrowing Institution,Borrowing Institution,DUPLICATE_VALUE:duplicate value found: RelationshipKey__c duplicates value on record with id: a0d22000000l5kj:--
0012200000VBjL0AAL,a0X2200000153Z6EAI,CH-L1157|CH-CH|Borrowing Institution,Borrowing Institution,DUPLICATE_VALUE:duplicate value found: RelationshipKey__c duplicates value on record with id: a0d22000000l5kk:--
0012200000VBjL0AAL,a0X2200000153YoEAI,CH-L1135|CH-CH|Borrowing Institution,Borrowing Institution,DUPLICATE_VALUE:duplicate value found: RelationshipKey__c duplicates value on record with id: a0d22000000l5kl:--
0012200000VBjL0AAL,a0X2200000153XZEAY,CH0137|CH-CH|Borrowing Institution,Borrowing Institution,DUPLICATE_VALUE:duplicate value found: RelationshipKey__c duplicates value on record with id: a0d22000000l5km:--
0012200000VBjL0AAL,a0X2200000153YvEAI,RG-L1116|CH-CH|Borrowing Institution,Borrowing Institution,DUPLICATE_VALUE:duplicate value found: RelationshipKey__c duplicates value on record with id: a0d22000000l5kn:--
0012200000VBjL0AAL,a0X2200000153Y0EAI,CH0177|CH-CH|Borrowing Institution,Borrowing Institution,DUPLICATE_VALUE:duplicate value found: RelationshipKey__c duplicates value on record with id: a0d22000000l5ko:--
0012200000VBjL0AAL,a0X2200000153YKEAY,CH-L1026|CH-CH|Borrowing Institution,Borrowing Institution,DUPLICATE_VALUE:duplicate value found: RelationshipKey__c duplicates value on record with id: a0d22000000l5kp:--
0012200000VBjL0AAL,a0X2200000153WQEAY,CH-L1110|CH-CH|Borrowing Institution,Borrowing Institution,DUPLICATE_VALUE:duplicate value found: RelationshipKey__c duplicates value on record with id: a0d22000000l5kq:--
0012200000VBjL0AAL,a0X2200000153WxEAI,CH0062|CH-CH|Borrowing Institution,Borrowing Institution,DUPLICATE_VALUE:duplicate value found: RelationshipKey__c duplicates value on record with id: a0d22000000l5kr:--
0012200000VBjL0AAL,a0X2200000153YgEAI,CH-L1027|CH-CH|Borrowing Institution,Borrowing Institution,DUPLICATE_VALUE:duplicate value found: RelationshipKey__c duplicates value on record with id: a0d22000000l5ks:--
0012200000VBjL0AAL,a0X2200000153Z3EAI,CH-L1160|CH-CH|Borrowing Institution,Borrowing Institution,DUPLICATE_VALUE:duplicate value found: RelationshipKey__c duplicates value on record with id: a0d22000000l5kt:--
0012200000VBjL0AAL,a0X2200000153XKEAY,CH0030|CH-CH|Borrowing Institution,Borrowing Institution,DUPLICATE_VALUE:duplicate value found: RelationshipKey__c duplicates value on record with id: a0d22000000l5ku:--
